bbref_id	School	"City, State"	latitude	longitude	From	To	Yrs	G	W	L	W-L%	SRS	SOS	AP	CREG	CTRN	NCAA	FF	NC
abilene-christian	Abilene Christian Wildcats	"Abilene, Texas"	32.4464534	-99.7333477	1971	2016	6	157	67	90	0.427	-14.33	-6.6	0	0	0	0	0	0
air-force	Air Force Falcons	"USAF Academy, Colorado"	38.978759	-104.8643891	1958	2016	58	1564	687	877	0.439	-2.64	1.31	0	1	0	4	0	0
akron	Akron Zips	"Akron, Ohio"	41.0830643	-81.5184853	1902	2016	65	1446	850	596	0.588	-0.5	-1.56	0	6	4	4	0	0
alabama-am	Alabama A&M Bulldogs	"Normal, Alabama"	34.7889792	-86.5719368	2000	2016	17	475	209	266	0.44	-15.62	-11.69	0	1	1	1	0	0
alabama	Alabama Crimson Tide	"Tuscaloosa, Alabama"	33.2668398	-87.4862181	1913	2016	103	2607	1613	993	0.619	7.04	4.3	15	10	7	20	0	0
alabama-state	Alabama State Hornets	"Montgomery, Alabama"	32.3669656	-86.3006484	1983	2016	34	991	496	495	0.501	-12.45	-10.1	0	4	4	4	0	0
alabama-birmingham	Alabama-Birmingham Blazers	"Birmingham, Alabama"	33.5206824	-86.8024325	1980	2016	37	1174	735	439	0.626	7.02	3.04	2	6	5	15	0	0
albany-ny	Albany (NY) Great Danes	"Albany, New York"	42.6511674	-73.7549679	2000	2016	17	516	249	267	0.483	-7.31	-6.11	0	2	4	5	0	0
alcorn-state	Alcorn State Braves	"Alcorn State, Mississippi"	31.8771048	-91.1412199	1978	2016	39	1139	491	648	0.431	-13.31	-8.72	0	10	6	6	0	0
allegheny	Allegheny Gators	"Meadville, Pennsylvania"	41.6414449	-80.151449	1896	1916	21	234	191	41	0.823			0	0	0			
american	American Eagles	"Washington, D.C."	36.29885175	-82.35919321	1967	2016	50	1401	702	699	0.501	-5.37	-3.6	0	7	3	3	0	0
amherst	Amherst Lord Jeffs	"Amherst, Massachusetts"	42.3803676	-72.5231429	1901	1902	2	12	12	0	1			0	0	0			
appalachian-state	Appalachian State Mountaineers	"Boone, North Carolina"	36.216795	-81.6745516	1974	2016	43	1245	618	627	0.496	-6.01	-3.48	0	10	2	2	0	0
arizona-state	Arizona State Sun Devils	"Tempe, Arizona"	33.4144139	-111.9094473	1912	2016	101	2428	1286	1142	0.53	4.68	3.71	7	8	0	14	0	0
arizona	Arizona Wildcats	"Tucson, Arizona"	32.2217422	-110.9264758	1905	2016	109	2604	1702	901	0.654	8.53	4.84	24	22	5	32	4	1
arkansas	Arkansas Razorbacks	"Fayetteville, Arkansas"	36.113284	-94.21492476	1924	2016	93	2526	1615	911	0.639	7.21	2.76	16	26	7	30	6	1
arkansas-state	Arkansas State Red Wolves	"State University, Arkansas"	35.843022	-90.6776941	1971	2016	46	1309	678	631	0.518	-3.45	-3.03	0	7	1	1	0	0
arkansas-little-rock	Arkansas-Little Rock Trojans	"Little Rock, Arkansas"	34.7464809	-92.2895947	1979	2016	38	1119	631	488	0.564	-3.04	-3.67	0	11	4	4	0	0
arkansas-pine-bluff	Arkansas-Pine Bluff Golden Lions	"Pine Bluff, Arkansas"	34.2284312	-92.0031954	1999	2016	18	526	157	369	0.298	-19.82	-8.25	0	0	1	1	0	0
armstrong	Armstrong Pirates	"Savannah, Georgia"	32.0835407	-81.0998341	1987	1987	1	28	6	22	0.214	-21.6	-4.78	0	0	0	0	0	0
army	Army Black Knights	"West Point, New York"	41.3929109	-73.9568048	1903	2016	114	2379	1189	1190	0.5	-9.27	-4.62	0	0	0	0	0	0
auburn	Auburn Tigers	"Auburn, Alabama"	32.713387	-85.46507893	1906	2016	110	2450	1288	1161	0.526	5.01	3.9	5	3	1	8	0	0
augusta-state	Augusta State Jaguars	"Augusta, Georgia"	33.4709714	-81.9748428	1985	1991	7	197	64	133	0.325	-17.3	-8	0	0	0	0	0	0
augustana-il	Augustana (IL) Vikings	"Rock Island, Illinois"	41.5094771	-90.5787476	1902	1917	12	116	81	35	0.698			0	0	0			
austin-peay	Austin Peay Governors	"Clarksville, Tennessee"	36.5285918	-87.3098695	1964	2016	53	1497	742	755	0.496	-5.62	-3.36	1	8	4	6	0	0
baker-university	Baker University Wildcats	"Baldwin City, Kansas"	38.775007	-95.1863602	1903	1908	6	90	62	28	0.689			0	0	0			
baldwin-wallace	Baldwin-Wallace Yellow Jackets	"Berea, Ohio"	41.3661614	-81.8543025	1948	1953	6	139	82	57	0.59	-4.45	1.85	0	0	0	0	0	0
ball-state	Ball State Cardinals	"Muncie, Indiana"	40.1936683	-85.3865113	1972	2016	45	1298	686	612	0.529	-1.03	-0.65	1	9	7	7	0	0
baltimore	Baltimore Super Bees	"Baltimore, Maryland"	39.2908608	-76.6108072	1979	1983	5	133	46	87	0.346	-13.76	-6.45	0	0	0	0	0	0
baylor	Baylor Bears	"Waco, Texas"	31.549333	-97.1466694	1907	2016	110	2607	1279	1328	0.491	0.71	2.08	4	5	0	9	2	0
belmont	Belmont Bruins	"Nashville, Tennessee"	36.1622296	-86.774353	2000	2016	17	528	336	192	0.636	0.29	-3.45	0	8	7	7	0	0
beloit	Beloit Buccaneers	"Beloit, Wisconsin"	42.5083272	-89.0317839	1911	1924	8	95	66	28	0.702			0	0	0			
bethune-cookman	Bethune-Cookman Wildcats	"Daytona Beach, Florida"	29.2108147	-81.022833	1981	2016	36	1049	367	682	0.35	-17.03	-9.78	0	1	0	0	0	0
binghamton	Binghamton Bearcats	"Binghamton, New York"	42.096968	-75.9143409	2002	2016	15	439	159	280	0.362	-10.81	-5.45	0	1	1	1	0	0
birmingham-southern	Birmingham-Southern Panthers	"Birmingham, Alabama"	33.5206824	-86.8024325	1920	2006	5	105	65	40	0.619	-5.44	-8.71	0	1	0	0	0	0
bloomsburg	Bloomsburg Huskies	"Bloomsburg, Pennsylvania"	41.0041213	-76.4538159	1896	1911	15	143	88	55	0.615			0	0	0			
boise-state	Boise State Broncos	"Boise, Idaho"	43.615046	-116.2044428	1972	2016	45	1305	722	583	0.553	-0.35	-0.89	0	6	5	7	0	0
boston-college	Boston College Eagles	"Chestnut Hill, Massachusetts"	42.330653	-71.1622756	1946	2016	71	1972	1101	871	0.558	3.03	2.83	8	6	2	18	0	0
boston-university	Boston University Terriers	"Boston, Massachusetts"	42.3604823	-71.0595677	1916	2016	90	2023	1036	987	0.512	-6.9	-5.49	0	8	6	7	0	0
bowling-green-state	Bowling Green State Falcons	"Bowling Green, Ohio"	41.3747744	-83.6513228	1916	2016	101	2460	1333	1127	0.542	-0.31	0.13	2	9	0	4	0	0
bradley	Bradley Braves	"Peoria, Illinois"	40.6938609	-89.5891007	1903	2016	112	2760	1614	1146	0.585	4.88	3.12	12	7	2	8	2	0
brigham-young-college	Brigham Young College 	"Logan, Utah"	41.7313447	-111.834863	1908	1908	1	11	10	1	0.909			0	0	0			
brigham-young	Brigham Young Cougars	"Provo, Utah"	40.2338438	-111.6585336	1903	2016	114	2807	1752	1055	0.624	7.53	3.6	10	25	3	29	0	0
brooklyn	Brooklyn Bulldogs	"Brooklyn, New York"	40.6501038	-73.9495822	1934	1992	25	567	233	334	0.411	-19.21	-9.62	0	0	0	0	0	0
brown	Brown Bears	"Providence, Rhode Island"	41.8239891	-71.4128342	1901	2016	110	2473	998	1475	0.404	-11.19	-4.65	0	1	0	2	0	0
bryant	Bryant Bulldogs	"Smithfield, Rhode Island"	41.9220433	-71.5495069	2011	2016	6	175	71	104	0.406	-9.88	-4.24	0	0	0	0	0	0
bucknell	Bucknell Bison	"Lewisburg, Pennsylvania"	40.9645293	-76.88441	1896	2016	121	2564	1371	1193	0.535	-8.78	-7.04	0	13	6	6	0	0
buffalo	Buffalo Bulls	"Buffalo, New York"	42.8864468	-78.8783688	1907	2016	47	1086	528	558	0.486	-6.56	-2.71	0	3	1	1	0	0
butler	Butler Bulldogs	"Indianapolis, Indiana"	39.7683331	-86.1583501	1897	2016	118	2627	1527	1100	0.581	1.11	2.73	6	13	7	13	2	0
cal-poly	Cal Poly Mustangs	"San Luis Obispo, California"	35.2827525	-120.6596155	1995	2016	22	632	268	364	0.424	-5.72	-1.54	0	1	1	1	0	0
cal-state-bakersfield	Cal State Bakersfield Roadrunners	"Bakersfield, California"	35.3738712	-119.0194638	2011	2016	6	174	80	94	0.46	-5.86	-3.81	0	0	0	0	0	0
cal-state-fullerton	Cal State Fullerton Titans	"Fullerton, California"	33.8708215	-117.9294164	1975	2016	42	1204	569	635	0.473	-1.63	-0.11	0	2	2	2	0	0
cal-state-los-angeles	Cal State Los Angeles Golden Eagles	"Los Angeles, California"	34.0543942	-118.2439408	1971	1975	5	130	70	60	0.538	-1.89	1.34	0	0	0	1	0	0
cal-state-northridge	Cal State Northridge Matadors	"Northridge, California"	34.2285918	-118.5369315	1991	2016	26	762	336	426	0.441	-4.86	-1.7	0	3	2	2	0	0
campbell	Campbell Fighting Camels	"Buies Creek, North Carolina"	35.4132168	-78.7355727	1978	2016	39	1099	442	657	0.402	-13.18	-7.17	0	1	1	1	0	0
canisius	Canisius Golden Griffins	"Buffalo, New York"	42.8864468	-78.8783688	1904	2016	112	2463	1249	1214	0.507	-3.62	-1.53	1	7	1	4	0	0
carleton-college	Carleton College Knights	"Northfield, Minnesota"	44.4582041	-93.1611589	1910	1934	25	360	280	80	0.778			0	0	0			
carnegie-mellon	Carnegie Mellon Tartans	"Pittsburgh, Pennsylvania"	40.4416941	-79.990086	1933	1939	7	87	40	47	0.46			0	2	0	0	0	0
case-western-reserve	Case Western Reserve Spartans	"Cleveland, Ohio"	41.5051613	-81.6934445	1898	1955	13	245	95	150	0.388	-18.3	-2.67	0	0	0	0	0	0
catholic	Catholic Cardinals	"Washington, D.C."	36.29885175	-82.35919321	1913	1981	13	248	122	126	0.492	-15.98	-6.69	0	0	0	1	0	0
centenary-la	Centenary (LA) Gents	"Shreveport, Louisiana"	32.4828485	-93.82848316	1960	2011	52	1435	637	798	0.444	-8.73	-3.96	1	1	1	0	0	0
central-arkansas	Central Arkansas Bears	"Conway, Arkansas"	35.0886963	-92.442101	2011	2016	6	163	39	124	0.239	-16.9	-5.04	0	0	0	0	0	0
central-connecticut-state	Central Connecticut State Blue Devils	"New Britain, Connecticut"	41.6803915	-72.78827729	1987	2016	30	859	357	502	0.416	-12.35	-7.74	0	3	3	3	0	0
central-florida	Central Florida Knights	"Orlando, Florida"	28.5421175	-81.3790461	1985	2016	32	936	458	478	0.489	-5.5	-3.59	0	1	4	4	0	0
central-michigan	Central Michigan Chippewas	"Mount Pleasant, Michigan"	43.597646	-84.7668494	1974	2016	43	1209	522	687	0.432	-4.02	-0.25	0	7	2	4	0	0
central-missouri	Central Missouri Mules	"Warrensburg, Missouri"	38.7627893	-93.7360497	1913	1937	10	178	140	38	0.787			0	0	0			
central-normal-college	Central Normal College 	"Danville, Indiana"	39.7606013	-86.5263878	1931	1931	1	19	19	0	1			0	0	0			
central-pennsylvania-college	Central Pennsylvania College Knights	"Summerdale, Pennsylvania"	40.3080686	-76.9351444	1896	1900	4	6	2	4	0.333			0	0	0			
centre-ky	Centre (KY) Colonels	"Danville, Kentucky"	37.6456488	-84.7721822	1910	1919	3	45	41	4	0.911			0	0	0			
charleston-southern	Charleston Southern Buccaneers	"Charleston, South Carolina"	32.7876012	-79.9402727	1975	2016	42	1186	490	696	0.413	-13.58	-7.27	0	4	4	1	0	0
charlotte	Charlotte 49ers	"Charlotte, North Carolina"	35.2270869	-80.8431267	1973	2016	44	1297	732	565	0.564	4.23	2.38	2	6	5	11	1	0
chattanooga	Chattanooga Mocs	"Chattanooga, Tennessee"	35.0456297	-85.30968	1978	2016	39	1181	722	459	0.611	-2.25	-3.72	1	18	10	10	0	0
cheyenne-business-college	Cheyenne Business College 	"Cheyenne, Wyoming"	41.1399814	-104.8202461	1903	1903	1	1	1	0	1			0	0	0			
chicago	Chicago Maroons	"Chicago, Illinois"	41.8755546	-87.6244211	1896	1946	46	862	419	443	0.486			0	6	0	0	0	0
chicago-state	Chicago State Cougars	"Chicago, Illinois"	41.8755546	-87.6244211	1985	2016	32	918	257	661	0.28	-14.46	-2.43	0	0	1	0	0	0
cincinnati	Cincinnati Bearcats	"Cincinnati, Ohio"	39.1014537	-84.5124601	1902	2016	115	2698	1710	988	0.634	11.41	4.98	22	23	10	29	6	2
citadel	Citadel Bulldogs	"Charleston, South Carolina"	32.7876012	-79.9402727	1913	2016	104	2255	961	1294	0.426	-13.1	-5.71	0	0	0	0	0	0
city-college-of-new-york	City College of New York Beavers	"New York, New York"	40.7305991	-73.9865811	1906	1953	48	725	517	208	0.713	-0.07	2.71	0	1	0	2	2	1
clemson	Clemson Tigers	"Clemson, South Carolina"	34.6850749	-82.836411	1912	2016	105	2523	1265	1256	0.502	4.91	3.9	5	1	1	11	0	0
cleveland-state	Cleveland State Vikings	"Cleveland, Ohio"	41.5051613	-81.6934445	1973	2016	44	1271	649	622	0.511	-2.92	-1.51	0	4	2	2	0	0
coastal-carolina	Coastal Carolina Chanticleers	"Conway, South Carolina"	33.8360035	-79.0478142	1987	2016	30	873	444	429	0.509	-8.92	-6.84	0	7	5	4	0	0
colgate	Colgate Raiders	"Hamilton, New York"	43.6307863	-74.4659274	1901	2016	116	2573	1225	1348	0.476	-11.44	-5.75	0	3	2	2	0	0
college-of-charleston	College of Charleston Cougars	"Charleston, South Carolina"	32.7876012	-79.9402727	1992	2016	25	763	529	234	0.693	0.95	-4.53	2	12	3	4	0	0
college-of-new-jersey	College of New Jersey Lions	"Ewing, New Jersey"	40.2688105	-74.8006894	1900	1900	1	5	3	2	0.6			0	0	0			
colorado	Colorado Buffaloes	"Boulder, Colorado"	40.0149856	-105.2705455	1902	2016	113	2414	1252	1162	0.519	4.82	5.88	5	19	1	13	2	0
colorado-college	Colorado College Tigers	"Colorado Springs, Colorado"	38.8339578	-104.8253484	1915	1937	23	376	233	143	0.62			0	7	0			
colorado-school-of-mines	Colorado School of Mines Orediggers	"Golden, Colorado"	39.755543	-105.2210996	1908	1937	28	282	80	202	0.284			0	2	0			
colorado-state	Colorado State Rams	"Fort Collins, Colorado"	40.5508527	-105.0668084	1902	2016	112	2424	1213	1211	0.5	2.71	2.31	0	6	1	10	0	0
columbia	Columbia Lions	"New York, New York"	40.7305991	-73.9865811	1901	2016	116	2520	1261	1259	0.5	-7.77	-5.33	2	13	0	3	0	0
concordia-seminary	Concordia Seminary Preachers	"St. Louis, Missouri"	38.6272733	-90.1978888	1907	1923	2	16	14	2	0.875			0	0	0			
connecticut	Connecticut Huskies	"Storrs, Connecticut"	41.8084314	-72.249523	1901	2016	110	2498	1599	899	0.64	6.37	0.62	16	27	7	31	5	4
coppin-state	Coppin State Eagles	"Baltimore, Maryland"	39.2908608	-76.6108072	1986	2016	31	923	452	471	0.49	-9.75	-8.09	0	10	4	4	0	0
cornell	Cornell Big Red	"Ithaca, New York"	42.4396039	-76.4968018	1899	2016	118	2603	1224	1379	0.47	-7.78	-4.64	0	8	0	5	0	0
cotner-university	Cotner University 	"Lincoln, Nebraska"	40.8000554	-96.6674004	1910	1911	2	27	24	3	0.889			0	0	0			
creighton	Creighton Bluejays	"Omaha, Nebraska"	41.2587317	-95.9378731	1912	2016	96	2465	1490	975	0.604	3	2.99	4	15	12	19	0	0
cumberland-university	Cumberland University Bulldogs	"Lebanon, Tennessee"	36.208065	-86.2905051	1904	1904	1	4	4	0	1			0	0	0			
dakota-wesleyan	Dakota Wesleyan Tigers	"Mitchell, South Dakota"	43.7095303	-98.0253785	1932	1932	1	20	19	1	0.95			0	0	0			
dartmouth	Dartmouth Big Green	"Hanover, New Hampshire"	43.7033561	-72.2885717	1900	2016	116	2736	1279	1455	0.468	-11	-5.26	0	12	0	7	2	0
davidson	Davidson Wildcats	"Davidson, North Carolina"	35.7902384	-80.2115052	1909	2016	107	2565	1391	1174	0.542	-3.65	-3.34	6	24	12	13	0	0
dayton	Dayton Flyers	"Dayton, Ohio"	39.7589478	-84.1916068	1904	2016	111	2654	1578	1076	0.595	6.79	3.17	7	3	2	16	1	0
delaware	Delaware Fightin' Blue Hens	"Newark, Delaware"	39.6852191	-75.7508288	1906	2016	75	1779	885	893	0.498	-8.66	-6.18	0	4	5	5	0	0
delaware-state	Delaware State Hornets	"Dover, Delaware"	39.158168	-75.5243681	1974	2016	43	1221	506	715	0.414	-16.06	-10.22	0	3	1	1	0	0
denison	Denison Big Red	"Granville, Ohio"	40.0681192	-82.5196036	1905	1944	24	362	269	93	0.743			0	0	0	0	0	0
denver	Denver Pioneers	"Denver, Colorado"	39.7391536	-104.9847033	1904	2016	93	1973	896	1077	0.454	-3.55	-0.44	0	4	0	0	0	0
depaul	DePaul Blue Demons	"Chicago, Illinois"	41.8755546	-87.6244211	1924	2016	93	2381	1426	955	0.599	6.22	5.78	12	2	0	22	2	0
